Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2021,3,Buenos Aires,1.678,"5.019,00"
2021,3,Capital Federal,2.421,"5.869,00"
2021,3,Catamarca,1.038,"4.080,00"
2021,3,Chaco,949,"3.549,00"
2021,3,Chubut,1.184,"3.864,00"
2021,3,Córdoba,2.906,"9.491,00"
2021,3,Corrientes,1.022,"3.882,00"
2021,3,Entre Ríos,1.742,"5.825,00"
2021,3,Formosa,1.083,"4.257,00"
2021,3,Jujuy,1.382,"5.405,00"
2021,3,La Pampa,2.240,"6.798,00"
2021,3,La Rioja,519,"1.949,00"
2021,3,Mendoza,558,"2.000,00"
2021,3,Misiones,1.100,"4.038,00"
2021,3,Neuquén,1.156,"3.884,00"
2021,3,Río Negro,1.479,"4.808,00"
2021,3,Salta,1.683,"6.951,00"
2021,3,San Juan,430,"1.688,00"
2021,3,San Luis,899,"3.141,00"
2021,3,Santa Cruz,1.123,"3.774,00"
2021,3,Santa Fe,2.312,"7.352,00"
2021,3,Santiago Del Estero,1.926,"7.762,00"
2021,3,Tierra Del Fuego,2.379,"8.026,00"
2021,3,Tucumán,660,"2.664,00"
2021,2,Buenos Aires,1.658,"4.970,00"
2021,2,Capital Federal,2.409,"5.832,00"
2021,2,Catamarca,1.023,"4.020,00"
2021,2,Chaco,965,"3.610,00"
2021,2,Chubut,1.176,"3.837,00"
2021,2,Córdoba,2.827,"9.234,00"
2021,2,Corrientes,997,"3.788,00"
2021,2,Entre Ríos,1.593,"5.329,00"
2021,2,Formosa,994,"3.907,00"
2021,2,Jujuy,1.367,"5.347,00"
2021,2,La Pampa,2.207,"6.700,00"
2021,2,La Rioja,509,"1.913,00"
2021,2,Mendoza,541,"1.939,00"
2021,2,Misiones,1.101,"4.043,00"
2021,2,Neuquén,1.163,"3.907,00"
2021,2,Río Negro,1.468,"4.774,00"
2021,2,Salta,1.357,"5.603,00"
2021,2,San Juan,428,"1.679,00"
2021,2,San Luis,889,"3.105,00"
2021,2,Santa Cruz,1.132,"3.806,00"
2021,2,Santa Fe,1.895,"6.028,00"
2021,2,Santiago Del Estero,1.640,"6.608,00"
2021,2,Tierra Del Fuego,2.377,"8.018,00"
2021,2,Tucumán,666,"2.690,00"
2021,1,Buenos Aires,1.657,"4.978,00"
2021,1,Capital Federal,2.407,"5.822,00"
2021,1,Catamarca,1.023,"4.024,00"
2021,1,Chaco,976,"3.652,00"
2021,1,Chubut,1.169,"3.813,00"
2021,1,Córdoba,2.867,"9.365,00"
2021,1,Corrientes,1.003,"3.810,00"
2021,1,Entre Ríos,1.589,"5.316,00"
2021,1,Formosa,994,"3.906,00"
2021,1,Jujuy,1.376,"5.382,00"
2021,1,La Pampa,2.222,"6.745,00"
2021,1,La Rioja,496,"1.862,00"
2021,1,Mendoza,530,"1.899,00"
2021,1,Misiones,1.087,"3.992,00"
2021,1,Neuquén,1.170,"3.929,00"
2021,1,Río Negro,1.468,"4.774,00"
2021,1,Salta,1.420,"5.863,00"
2021,1,San Juan,431,"1.693,00"
2021,1,San Luis,889,"3.108,00"
2021,1,Santa Cruz,1.190,"4.000,00"
2021,1,Santa Fe,1.933,"6.146,00"
2021,1,Santiago Del Estero,1.620,"6.527,00"
2021,1,Tierra Del Fuego,2.385,"8.043,00"
2021,1,Tucumán,647,"2.612,00"
2020,4,Buenos Aires,1.688,"5.085,00"
2020,4,Capital Federal,2.462,"5.948,00"
2020,4,Catamarca,1.010,"3.970,00"
2020,4,Chaco,976,"3.651,00"
2020,4,Chubut,1.175,"3.834,00"
2020,4,Córdoba,2.842,"9.281,00"
